(839,260,1636)
(847,765,1)
(767,866,20)
(238,402,348)
(285,637,145)
(677,940,24)
(797,504,1579)
(870,262,1636)
(638,403,5)
(811,616,1594)
(923,96,9)
(496,189,529)
(184,884,3270)
(841,921,757)
(953,197,110)
(570,459,1)
(11,353,107)
(131,358,348)
(750,189,758)
(267,970,108)
(681,152,160)
(441,370,2)
(697,110,1636)
(177,130,1)
(738,575,1594)
(904,566,1)
(586,860,1024)
(339,918,127)
(475,617,25)
(64,826,3780)
(560,879,3270)
(444,222,439)
(593,374,1)
(723,973,757)
(90,952,108)
(974,198,12)
(346,739,3835)
(223,901,127)
(372,802,3835)
(693,765,1)
(337,825,3270)
(262,521,348)
(365,644,73)
(180,603,349)
(533,795,3835)
(706,890,27)
(690,460,232)
(758,209,1636)
(570,750,3835)
(828,789,1)
(271,591,349)
(440,50,300)
(153,570,348)
(1,462,348)
(507,957,67)
(482,26,439)
(827,345,1636)
(615,595,0)
(659,321,160)
(551,710,3835)
(28,827,3835)
(263,544,348)
(966,212,116)
(664,806,3835)
(979,449,14)
(760,177,1636)
(956,498,14)
(519,14,283)
(46,60,1)
(883,761,2)
(89,864,3270)
(333,862,571)
(534,896,10)
(4,13,1)
(529,828,3270)
(771,44,1636)
(898,870,3270)
(86,351,201)
(988,453,45)
(661,456,28)
(113,492,348)
(691,264,1636)
(190,829,3835)
(904,368,6)
(434,81,432)
(570,15,312)
(266,653,349)
(727,998,757)
(511,382,1)
(224,242,1)
(355,97,289)
(433,625,77)
(605,856,3270)
(572,136,230)
(782,867,24)
(994,689,3835)
(83,991,108)
(788,539,1579)
(812,20,1636)
(625,118,160)
(395,918,79)
(633,598,1)
(359,699,3835)
(45,376,116)
(444,255,439)
(830,5,1636)
(763,37,1636)
(879,11,1636)
(665,191,160)
(793,668,1594)
(629,348,1)
(714,429,1579)
(604,390,2)
(269,999,110)
(400,705,3833)
(622,346,160)
(888,334,1636)
(795,532,1579)
(948,715,3835)
(432,245,452)
(206,313,1)
(705,834,0)
(288,204,1)
(771,972,757)
(313,861,3270)
(324,760,3835)
(15,961,107)
(407,398,1)
(774,791,1)
(652,739,3835)
(990,19,30)
(101,501,208)
(930,587,58)
(670,347,160)
(140,300,1)
(46,315,1)
